id,title,artist_ids,popularity,release_date
3CRDbSIZ4r5MsZ0YwxuEkn,"Stressed Out","['3YQKmKGau1PzlVlkL1iodx']",86,2015-05-15
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","['1KP6TWI40m7p3QBTU6u2xo']",86,2015-10-16
7BKLCZ1jbUBVqRi2FVlTVw,"Closer","['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']",86,2016-07-29
7MXVkk9YMctZqd1Srtv4MB,"Starboy","['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']",86,2016-11-25
7MiZjKawmXTsTNePyTfPyL,"Devil Eyes","['4dM6NDYSfLcspt8GLoT5aE']",86,2016-02-05
2bRKxuH1o7pTmb1y4GfdEc,"Clean White Noise - Loopable with no fade","['2c5WYCqQGs0UttiLCzVfOe', '4W12lEvVl5wectUtRNrvDh', '4ZfEELHfyKd4odAb6YfDFw']",86,2017-01-08
2ZRo7axmMPeSVUvDbGkJah,"Hope","['15UsOTVnJzReFVN1VCnxy4']",86,2018-03-16
7uoFMmxln0GPXQ0AcCBXRq,"Snowman","['5WUlDfRSoLAfcVSX1WnrxN']",86,2018-11-01
2VxeLyX666F8uXCJ0dZF8B,"Shallow","['1HY2Jd0NmPuamShAr6KMms', '4VIvfOurcf0vuLRxLkGnIG']",86,2018-10-05
0e7ipj03S05BNilyu5bRzt,"rockstar (feat. 21 Savage)","['246dkjvS1zLTtiykXe5h60', '1URnnhqYAYcrqrcwql10ft']",86,2018-04-27
2kJwzbxV2ppxnQoYw4GLBZ,"If the World Was Ending - feat. Julia Michaels","['66W9LaWS0DPdL7Sz8iYGYe', '0ZED1XzwlLHW4ZaG4lOT6m']",86,2019-10-17
43zdsphuZLzwA9k4DJhU0I,"when the party's over","['6qqNVTkY8uBg9cP3Jd7DAH']",86,2019-03-29
79s5XnCN4TJKTVMSmOx8Ep,"Dior","['0eDvMgVFoNV3TpwtrVCoTj']",86,2019-07-26
30bqVoKjX479ab90a8Pafp,"Star Shopping","['2kCcBybjl3SAtIcwdWpUe3']",86,2019-04-19
6WrI0LAC5M1Rw2MnX2ZvEg,"Don't Start Now","['6M2wZ9GZgrQXHCFfjv46we']",86,2019-10-31
696DnlkuDOXcMAnKlTgXXK,"ROXANNE","['0vRvGUQVUjytro0xpb26bs']",86,2019-10-10
2gMXnyrvIjhVBUZwvLZDMP,"Before You Go","['4GNC7GD6oZMSxPGyXy4MNB']",86,2019-11-22
4HBZA5flZLE435QTztThqH,"Stuck with U (with Justin Bieber)","['66CXWjxzNUsdJxJ2JdwvnR', '1uNFoZAHBGtllmzznpCI3s']",86,2020-05-08
6EDO9iiTtwNv6waLwa1UUq,"POPSTAR (feat. Drake)","['0QHgL1lAIqAw0HtD7YldmP', '3TVXtAsR1Inumwj472S9r4']",86,2020-07-17
7kDUspsoYfLkWnZR7qwHZl,"my ex's best friend (with blackbear)","['6TIYQ3jFPwQSRmorSezPxX', '2cFrymmkijnjDg9SS92EPM']",86,2020-09-25
15OjBeqNX3bShsGYQbteRv,"La Tóxica","['329e4yvIujISKGKz1BZZbO']",86,2020-07-24
0ri0Han4IRJhzvERHOZTMr,"At My Worst","['1W7FNibLa0O0b572tB2w7t']",86,2020-07-17
7szuecWAPwGoV1e5vGu8tl,"In Your Eyes","['1Xyo4u8uXC1ZmMpatF05PJ']",86,2020-03-20
27X3qzgB0Show6qfw5wNOK,"Esquema Preferido","['0RPzmE1iY76tx1eBBXFyYn', '48HORs6F9P7IgdyKrk4MZC']",86,2020-11-26
7FIWs0pqAYbP91WWM0vlTQ,"Godzilla (feat. Juice WRLD)","['7dGJo4pcD2V6oG8kP0tJRR', '4MCBfE4596Uoi2O4DtmEMz']",86,2020-01-17
4Lt6GXGzYsa1tgkv3nGSTm,"Love Not War (The Tampa Beat)","['07YZf4WDAMNwqr4jfgOZ8y', '1XynjLPAyPi8SZAx8LHN0Z']",86,2020-11-20
68mrW6gXHgupgSiDHgaDi5,"Polvo","['1SupJlEpv7RS2tPNRaHViT', '7iK8PXO48WeuP03g8YR51W']",86,2020-11-20
2mt1IqcFyY1zmYZT8Q3xw9,"hot girl bummer","['2cFrymmkijnjDg9SS92EPM']",86,2020-08-21
2nZj5YymF54qhAu7RneVP6,"Coração Na Cama","['1LIuN7ov1IBQDdLsU83ojl']",86,2020-11-13
4HYDUMY0xSpeBr0AMY9cUz,"La Curiosidad","['2cPqdH7XMvwaBJEVjheH8g', '2ydZrTy8U3kOMOzx20s3dg', '7iK8PXO48WeuP03g8YR51W']",86,2020-06-12
2Y0wPrPQBrGhoLn14xRYCG,"Come & Go (with Marshmello)","['4MCBfE4596Uoi2O4DtmEMz', '64KEffDW9EtZ1y2vBYgq8T']",86,2020-07-10
